Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),License_Duration_Years,License_Status
Bungku Selatan,Morowali,Nikel Laro Enai,1920000000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai,Sulawesi Tengah,Operasi Produksi,5664000,985536,"Blok BCL A, BCL B, Kartini B, Tiara","PT PAM Mineral, Prospektus Penawaran Saham Perdana Tahun 2020",1452,122.245,-3.042,IUP,"Desa Buleleng dan laro'enai, Kec. bungku Pesisir, kab. Morowali, Provinsi Sulawesi Tengah",198.0,2035-04-15,2024-11-17,27403.185,64.574,2946.288,10.413698630136986,Active
Pagimana,Banggai,Nikel Siuna,1367000000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 1,2,3,4","PT Penta Dharma Karsa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1387,122.99,-0.735,IUP,"Desa Siuna, Kec Pagimana, Kab. Banggai",1220.0,2026-08-19,2016-08-19,32172.685,640.858,228675.522,10.005479452054795,Active
Pagimana,Banggai,Nikel Siuna 2,2810000000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna 2,Sulawesi Tengah,Operasi Produksi,44400000,54390,"4 blok, logam ikutan bijih nikel laterit, kadar Fe %","PT Prima Dharma Karsa, Laporan RKAB Tahun 2020",1628,122.9913,-0.7334,IUP,"Desa Siuna, Kec. Pagimana, Kab. Banggai",938.0,2026-08-19,2016-08-19,32399.822,815.646,228896.312,10.005479452054795,Active
Bungku Selatan,Morowali,Nikel Torette 2,2811000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 2,Sulawesi Tengah,Operasi Produksi,90048000,11099284,"Kadar Ni 1,1% s.d. 1,7%","PT Raihan Caturputra, Laporan RKAB Tahun 2020",1629,122.2037,-2.9681,IUP,"Desa Torete, Kecamatan Buku Pesisir, Kabupaten Morowali, Sulawesi Tengah",688.0,2035-12-13,2013-12-13,18258.875,1229.864,11624.89,22.013698630136986,Active
Lembo,Morowali Utara,Nikel Korowou,2573000000,Nikel,Ni,Logam Besi dan Paduan Besi,Korowou,Sulawesi Tengah,Operasi Produksi,22714130,27506811430,"Blok 1, Blok 2","PT Sarana Mineralindo Perkasa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1595,121.365,-2.14,IUP,"Desa Korowou, Molindo dan Bimor Jaya Kec. Petasia",4656.0,2032-11-12,2017-08-09,17946.518,1730.942,22398.447,15.271232876712329,Active
Toili Barat,Banggai,Nikel Sumber Agung 1,2580000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Agung 1,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Sinar Makmur Cemerlang, Laporan Revisi RKAB Tahun 2020",1602,122.223,-1.353,IUP,"Kec. Batui, Banggai",3099.0,2035-05-14,2015-09-02,41809.218,3323.626,119603.847,19.70958904109589,Active
Petasia Timur,Morowali Utara,Nikel Bimor Jaya,1947000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bimor Jaya,Sulawesi Tengah,Eksplorasi,1938730609,278207842391,"Kadar Fe 21,01%","PT Sinosteel Indonesia Mining, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1479,121.467,-2.124,IUP,Kec. Kembo raya dan Petasia,2038.7,2041-12-30,2021-12-30,,,,20.013698630136986,Active
Petasia Timur,Morowali Utara,Nikel Molino 2,2579000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 2,Sulawesi Tengah,Operasi Produksi,768320,1229312,"Blok 1, Blok 2, Blok 3","PT Sumber Permata Selaras, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1601,121.473,-2.139,IUP,Desa ganda-ganda Kec. Petasia,424.0,2030-09-22,2020-09-22,22098.642,399.361,27518.094,10.005479452054795,Active
Petasia dan Soyojaya,Morowali Utara,Nikel Towi,2812000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,385224660,456105961234,"Blok GGU dan Blok GGS, saprolit dan limonit","PT Sumber Swarma Pratama, Laporan RKAB Tahun 2022",1630,121.2566,-1.9004,IUP,Desa Ganda-Ganda dan Towi Kec. Petasia dan Soyo Jaya,2641.0,2031-07-11,2019-09-19,12432.307,1658.403,8582.615,11.816438356164383,Active
Bungku Selatan,Morowali,Nikel Torette 1,2577000000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 1,Sulawesi Tengah,Operasi Produksi,33000000,39270,"Kadar Ni 1,1% - 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1599,122.214,-2.994,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301.0,2029-05-06,2012-06-19,21336.344,897.175,8743.135,16.89041095890411,Active
Bungku Selatan,Morowali,Nikel Buleleng,2578000000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng,Sulawesi Tengah,Operasi Produksi,0,0,"Kadar Ni 1,4% dan 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1600,122.232,-3.023,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301.0,2029-05-06,2012-06-19,23904.341,305.047,5158.916,16.89041095890411,Active
Bungku Selatan,Morowali,Nikel One Ete,1379000000,Nikel,Ni,Logam Besi dan Paduan Besi,One Ete,Sulawesi Tengah,Operasi Produksi,155578150,22325464525,Blok Utara (A) dan Blok Selatan (B),"PT Total Prima Indonesia, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1399,122.303,-2.941,IUP,"Desa Tangofa Kec. Bungku Selatan, Kab. Morowali",1142.0,2031-05-20,2011-05-23,20528.092,753.785,12463.109,20.005479452054793,Active
Bungku Timur,Morowali,Nikel Bahodopi Block 1,271000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bahodopi Block 1,Sulawesi Tengah,Eksplorasi,24000000,218400,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1291,121.881,-2.691,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Bungku Timur,Morowali,"Nikel Bahodopi Block 2,3 & 4",272000000,Nikel,Ni,Logam Besi dan Paduan Besi,"Bahodopi Block 2,3 & 4",Sulawesi Tengah,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1292,121.91,-2.694,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Bungku Pesisir,Morowali,Nikel Sambalagi 1,2854000000,Nikel,Ni,Logam Besi dan Paduan Besi,Sambalagi 1,Sulawesi Tengah,Operasi Produksi,66800000,84168,"Blok A dan Blok B, kadar Ni 1,4% - 2%","PT Wosindo Perkasa, Laporan RKAB Tahun 2021",1651,122.273,-3.1301,IUP,Kecamatan Sambalagi Kabupaten Morowali,477.0,2031-09-24,2021-09-24,37586.183,1626.119,8982.856,10.005479452054795,Active
Molawe,Konawe Utara,Nikel Tapunggaya,2145000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya,Sulawesi Tenggara,Operasi Produksi,24538600,26496753675,"4 blok laterit, kadar Ni 1,1% s.d. 1,7%","CV Unaaha Bakti Persada, Laporan RKAB Tahun 2022",1494,122.235,-3.392,IUP,Langgikima,159.0,2031-12-15,2011-12-15,65035.127,200.986,38145.008,20.013698630136986,Active
Langgikima,Konawe Utara,Nikel Lameluru,1188000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameluru,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,5 - 2,0%","Laporan PT Bhumi Swadatya Mineral, 2012",1377,122.3,-3.281,IUP,Desa Lameruru Kec. Langgikima Kab. Konawe Utara,317.0,2029-12-22,2009-12-22,54397.377,88.7,25872.279,20.013698630136986,Active
Pomalaa,Kolaka,Nikel Pesohua,1389000000,Nikel,Ni,Logam Besi dan Paduan Besi,Pesohua,Sulawesi Tenggara,Operasi Produksi,10110590,120316021,"Kadar Ni 1,4% - 1,9%","PD Aneka Usaha Kolaka, Laporan RKAB Tahun 2020",1407,121.6393,-4.2036,IUP,Pomalaa,340.0,2028-04-01,2018-04-02,5553.2,835.385,4747.146,10.005479452054795,Active
Langgikima,Konawe Utara,Nikel Blok B Lameluru,2789000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok B Lameluru,Sulawesi Tenggara,Operasi Produksi,20985670,26225801840,"3 blok, kadar Ni 1,74% s.d. 1,86%","PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2020",1607,122.2801,-3.2635,IUP,"Kec. Langgikima, Kab. Konut",1975.0,2030-12-13,2010-12-14,52041.612,919.588,23753.444,20.01095890410959,Active
Langgikima,Konawe Utara,Nikel Blok A Lameruru,1935000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A Lameruru,Sulawesi Tenggara,Operasi Produksi,0,0,Blok A1 - A3,"PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2022",1467,122.261,-3.263,IUP,"Kec. Langgikima, Kab. Konut",1975.0,2030-12-13,2010-12-14,51471.428,1403.219,23698.708,20.01095890410959,Active
Pomalaa,Kolaka,Nikel Hakatutobu,1925000000,Nikel,Ni,Logam Besi dan Paduan Besi,Hakatutobu,Sulawesi Tenggara,Eksplorasi,67057470,657163206,"Kadar Ni 1% s.d. 1,8%","PT Akar Mas Internasional, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1457,121.592,-4.251,IUP,Pomalaa,225.0,2029-09-07,2009-09-07,,,,20.013698630136986,Active
Tolala,Kolaka Utara,Nikel Tolala 1,2565000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tolala 1,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 0,9% s.d. 1,5%","PT Alam Mitra Indah Nugraha, Laporan RKAB Tahun 2022",1587,121.107,-2.891,IUP,Kec.Tolala,221.0,2027-01-12,2012-01-12,17370.486,2270.843,46550.205,15.01095890410959,Active
Kabaena Selatan,Bombana,Nikel Teomokole,2534000000,Nikel,Ni,Logam Besi dan Paduan Besi,Teomokole,Sulawesi Tenggara,Operasi Produksi,6000000,6930,"Laterit, 2 blok","PT Almharig, Laporan RKAB Tahun 2020",1556,121.8581,-5.2946,IUP,Kecamatan Kabaena dan Kabaena Selatan,2018.0,2032-09-07,2021-12-15,7878.149,177.704,46562.03,10.736986301369862,Active
Wundulako,Kolaka Timur,Nikel Maniang,302000000,Nikel,Ni,Logam Besi dan Paduan Besi,Maniang,Sulawesi Tenggara,Eksplorasi Rinci,0,0,-,"PT Antam Tbk, Annual Report 2006",1315,121.479,-4.203,IUP,Pulau Maniang,195.0,2033-02-28,2023-02-28,,,,10.008219178082191,Active
Asera,Konawe Utara,Nikel Lalindu dan Lasolo,1922000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalindu dan Lasolo,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1454,122.154,-3.468,IUP,"Kec. Asera dan Molawe, Kab. Konawe",16920.0,2030-04-29,2010-04-29,,,,20.013698630136986,Active
Pomalaa,Kolaka,Nikel Pomalaa (Tambang Tengah) (WSPM 014),1923000000,Nikel,Ni,Logam Besi dan Paduan Besi,Pomalaa (Tambang Tengah) (WSPM 014),Sulawesi Tenggara,Operasi Produksi,17800000,225253,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1455,121.613,-4.229,IUP,Kec. Pomalaa,1954.0,2030-06-25,2020-05-18,6230.121,1375.499,4404.607,10.10958904109589,Active
Molawe,Konawe Utara,Nikel Tapunopaka,291000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunopaka,Sulawesi Tenggara,Eksplorasi,173400000,2107686,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1307,122.253,-3.502,IUP,"Kec. Lasolo, Konawe",6213.0,2030-01-11,2010-01-11,,,,20.013698630136986,Active
Molawe,Konawe Utara,Nikel Mandiodo,294000000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1308,122.246,-3.537,IUP,"Kec. Lasolo, Konawe",6213.0,2030-01-11,2010-01-11,,,,20.013698630136986,Active
Molawe,Konawe Utara,Nikel Bahubulu,295000000,Nikel,Ni,Logam Besi dan Paduan Besi,Bahubulu,Sulawesi Tenggara,Operasi Produksi,0,0,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1309,122.325,-3.567,IUP,"Kec. Lasolo, Konawe",6213.0,2030-01-11,2010-01-11,52880.919,10063.228,38665.49,20.013698630136986,Active
Pomalaa,Kolaka,Nikel WSPM 017,1950000000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 017,Sulawesi Tenggara,Operasi Produksi,0,0,"Limonit dan saprolit, kadar Ni 1,27% s.d. 1.72%","PT Antam, Laporan RKAB Tahun 2022",1482,121.536,-4.263,IUP,Kec. Pomalaa,584.3,2034-03-14,2020-05-18,11981.177,2926.315,3483.409,13.830136986301369,Active
Pomalaa,Kolaka,Nikel WSPM 016,1951000000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 016,Sulawesi Tenggara,Operasi Produksi,19300000,247926,"Limonit dan saprolit, kadar Ni 1,36% s.d. 1,83%","PT Antam, Laporan RKAB Tahun 2022",1483,121.63,-4.204,IUP,Kec. Pomalaa,2712.0,2034-03-14,2020-05-18,4783.091,1857.652,3777.922,13.830136986301369,Active
Pomalaa,Kolaka,Nikel WSPM 015,1952000000,Nikel,Ni,Logam Besi dan Paduan Besi,WSPM 015,Sulawesi Tenggara,Operasi Produksi,28400000,383376,"Limonit dan saprolit, kadar Ni 1,38% s.d. 2%","PT Antam, Laporan RKAB Tahun 2022",1484,121.553,-4.278,IUP,Kec. Pomalaa,878.2,2030-06-25,2020-05-18,12495.622,185.727,1603.08,10.10958904109589,Active
Kabaena Selatan,Bombana,"Nikel Salgado, Purano, Bangko",311000000,Nikel,Ni,Logam Besi dan Paduan Besi,"Salgado, Purano, Bangko",Sulawesi Tenggara,Operasi Produksi,52520000,611366,"Kadar Ni 1,1% - 2,2%","PT Anugrah Harisma Barakah, Laporan RKAB Tahun 2022",1322,121.934,-5.413,IUP,Kec. Talaga Kab. Buton dan Kec Kabaena Selatan,2527.0,2030-07-25,2010-07-26,16534.744,625.993,57702.59,20.01095890410959,Active
Molawe,Konawe Utara,Nikel Tapunggaya 2,2555000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 2,Sulawesi Tenggara,Operasi Produksi,3000000,4800,"4 blok, Blok A mempunyai cadangan, kadar rata-rata 1,6%","PT Apollo Nickel Indonesia, Laporan RKAB Tahun 2020",1577,122.3632,-3.3867,IUP,Kec. Lasolo,106.0,2031-10-21,2011-10-31,67719.83,2244.524,38745.133,19.986301369863014,Active
Talagaraya,Buton Tengah,Nikel Talaga Besar,1419000000,Nikel,Ni,Logam Besi dan Paduan Besi,Talaga Besar,Sulawesi Tenggara,Operasi Produksi,22300000,276297,"Kadar Ni 1,2% - 1,77%","PT Arga Morini Indah, Laporan RKAB 2020 (Tabulasi Dinas ESDM Provinsi)",1428,122.033,-5.414,IUP,Kec. Talaga Raya,2834.96,2027-07-11,2007-07-12,10615.775,463.79,57734.869,20.01095890410959,Active
Talaga Raya,Buton,Nikel Wulu,2790000000,Nikel,Ni,Logam Besi dan Paduan Besi,Wulu,Sulawesi Tenggara,Operasi Produksi,22300000,276297,"Blok I - IV, Ni 1,2% s.d. 1,77%","PT Arga Morini Indah, Laporan RKAB Tahun 2020",1608,122.0012,-5.436,IUP,Kec. Talaga Raya,2834.96,2027-07-11,2007-07-12,13982.161,514.783,59963.999,20.01095890410959,Active
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Utara),2557000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Utara),Sulawesi Tenggara,Operasi Produksi,4200000,48216,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1579,122.2748,-3.3543,IUP,"Kec. Langgikima, Konawe Utara",310.0,2032-12-12,2017-06-05,61668.289,433.844,33733.667,15.531506849315068,Active
Molawe,Konawe Utara,Nikel Tapunggaya 4 (Blok Selatan),2795000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya 4 (Blok Selatan),Sulawesi Tenggara,Operasi Produksi,5600000,65464,"Kadar Ni 1,1% s.d. 2,6%","PT Bhumi Karya Utama, Laporan RKAB Tahun 2022",1613,122.2657,-3.3728,IUP,"Kec. Langgikima, Konawe Utara",310.0,2032-12-12,2017-06-05,63487.908,641.334,35820.277,15.531506849315068,Active
Molawe,Konawe Utara,Nikel Binanga,2788000000,Nikel,Ni,Logam Besi dan Paduan Besi,Binanga,Sulawesi Tenggara,Operasi Produksi,1979250,2528491875,"Kadar Ni 1,7% - 1,95%","PT Binanga Hartama Raya, Laporan RKAB Tahun 2020",1606,122.3089,-3.3755,IUP,Kec. Lasolo,185.0,2031-06-23,2011-06-23,64799.689,590.464,36364.714,20.013698630136986,Active
Pomalaa,Kolaka,Nikel Tambea,2531000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tambea,Sulawesi Tenggara,Operasi Produksi,5000000,5775,"Blok A, B, C dan D, kadar Ni 1,6% - 1,65%","PT Bola Dunia Mandiri, Laporan RKAB Tahun 2020",1553,121.6219,-4.2548,IUP,"Kec. Pomalaa, Kab. Kolaka",260.0,2027-08-26,2017-08-26,9244.335,182.185,6476.735,10.005479452054795,Active
Molawe,Konawe Utara,Nikel Morombo (Bososi),1161000000,Nikel,Ni,Logam Besi dan Paduan Besi,Morombo (Bososi),Sulawesi Tenggara,Operasi Produksi,3740000,389606,"Kadar Ni > 1,5% (sumber daya) dan > 1,7% (cadangan)","PT Bososi Pratama, Laporan RKAB Tahun 2022",1369,122.201,-3.378,IUP,"Kec. Langgikima, Kab. Konawe Utara",1850.0,2031-06-06,2011-06-06,63191.318,3055.373,37204.257,20.013698630136986,Active
Langgikima,Konawe Utara,Nikel Wawoheo,2144000000,Nikel,Ni,Logam Besi dan Paduan Besi,Wawoheo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Mawar, Pit Melati dan Pit Matahari, kadar Ni 1,6% s.d. 2%","PT Bosowa Mining, Laporan RKAB Tahun 2022",1493,122.234,-3.195,IUP,"Kec. Wiwirano, Kab. Konawe Utara",1500.0,2031-03-28,2011-01-28,43513.992,56.367,16659.753,20.175342465753424,Active
Kab. Buton,Buton,Nikel Wakalambe,1420000000,Nikel,Ni,Logam Besi dan Paduan Besi,Wakalambe,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,12%","PT Bumi Buton Delta Megah, 2013",1429,122.792,-5.264,IUP,Kec. Kapontori,675.0,2029-09-04,2009-09-04,22585.652,276.792,98177.205,20.013698630136986,Active
Motui,Konawe Utara,Nikel Matandahi,1397000000,Nikel,Ni,Logam Besi dan Paduan Besi,Matandahi,Sulawesi Tenggara,Operasi Produksi,14300000,16016,"Blok I, Blok II dan Blok III, kadar Ni 1,,49% s.d. 1,61%","PT Bumi Konawe Abadi, Laporan RKAB Tahun 2020",1411,122.4413,-3.8204,IUP,Kec. Sawa Kab. Konawe Utara,419.6,2027-12-22,2009-12-22,22645.856,523.672,9541.335,18.01095890410959,Active
Asera,Konawe Utara,Nikel Walalindu,1395000000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,65%","PT Bumi Konawe Minerina, 2015",1410,122.104,-3.483,IUP,Kec. Molawe,616.0,2027-12-22,2017-06-12,74977.258,593.661,51449.157,10.534246575342467,Active
Molawe,Konawe Utara,Nikel Walalindu 1,1930000000,Nikel,Ni,Logam Besi dan Paduan Besi,Walalindu 1,Sulawesi Tenggara,Operasi Produksi,31611070,40142444930,"5 blok, saprolit Ni 1,93% , limonit Ni 1,5%","PT Bumi Konawe Minerina, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1462,122.2274,-3.5594,IUP,Kec. Molawe,616.0,2027-12-22,2017-06-12,60011.478,42.963,43612.31,10.534246575342467,Active
Wawonii Tenggara,Konawe Kepulauan,Nikel Mosolo,2523000000,Nikel,Ni,Logam Besi dan Paduan Besi,Mosolo,Sulawesi Tenggara,Eksplorasi,0,0,Blok Utara,"PT Bumi Konawe Mining, Assesment Report 2018",1545,123.153,-4.193,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175.0,2028-12-30,2010-08-02,,,,18.424657534246574,Active
Wawonii Tenggara,Konawe Kepulauan,Nikel Nambo Jaya,2524000000,Nikel,Ni,Logam Besi dan Paduan Besi,Nambo Jaya,Sulawesi Tenggara,Eksplorasi,0,0,Blok Selatan,"PT Bumi Konawe Mining, Assesment Report 2018",1546,123.138,-4.23,IUP,"Kec. Wawonii timur dan Wawonii Tenggara, Kab. Konawe",3175.0,2028-12-30,2010-08-02,,,,18.424657534246574,Active
Andowia,Konawe Utara,Nikel Lahimbua,2553000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lahimbua,Sulawesi Tenggara,Operasi Produksi,14389510,181307826,-,"PT Bumi Nikel Nusantara, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1575,122.158,-3.522,IUP,"Molawe, Konawe Utara",386.49,2032-03-10,2018-10-16,68241.817,445.742,51200.66,13.408219178082192,Active
Wolo,Kolaka,Nikel Samaenre,2148000000,Nikel,Ni,Logam Besi dan Paduan Besi,Samaenre,Sulawesi Tenggara,Operasi Produksi,0,0,Pit Tenggara 1-4,"PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2019 (Adendum)",1497,121.319,-3.878,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,34840.34,864.941,3574.904,20.013698630136986,Active
Wolo,Kolaka,Nikel Pit Pao pao,301000000,Nikel,Ni,Logam Besi dan Paduan Besi,Pit Pao pao,Sulawesi Tenggara,Operasi Produksi,0,0,"wmt, CoG 1,3% Ni","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1314,121.289,-3.852,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,39216.248,60.637,1013.294,20.013698630136986,Active
Wolo,Kolaka,Nikel Wolo,2149000000,Nikel,Ni,Logam Besi dan Paduan Besi,Wolo,Sulawesi Tenggara,Operasi Produksi,0,0,"Pit Utara 1, Pit Utara 2","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1498,121.269,-3.843,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,41609.079,121.664,3423.913,20.013698630136986,Active
Wolo,Kolaka,Nikel Ruby,2150000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ruby,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,4%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1499,121.286,-3.872,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,38272.156,2165.17,2441.591,20.013698630136986,Active
Wolo,Kolaka,Nikel Jessica,2151000000,Nikel,Ni,Logam Besi dan Paduan Besi,Jessica,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,5%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1500,121.287,-3.864,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,38655.612,1358.34,1685.468,20.013698630136986,Active
Wolo,Kolaka,Nikel Emerald,2528000000,Nikel,Ni,Logam Besi dan Paduan Besi,Emerald,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,3% Ni, kadar Ni 1,7%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1550,121.24,-3.868,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,42901.677,1198.794,6638.52,20.013698630136986,Active
Wolo,Kolaka,Nikel Saphire,2529000000,Nikel,Ni,Logam Besi dan Paduan Besi,Saphire,Sulawesi Tenggara,Operasi Produksi,0,0,"CoG 1,2% Ni, kadar Ni 1,57%","PT Ceria Nugraha Indotama, Laporan RKAB Tahun 2020 (Tabulasi Dinas ESDM Provinsi)",1551,121.28,-3.876,IUP,"Kel Wolo, Uluwolo, Ponrewaru",6785.0,2032-04-23,2012-04-23,38609.418,1887.497,3191.742,20.013698630136986,Active
Molawe,Konawe Utara,Nikel Mandiodo 1,1398000000,Nikel,Ni,Logam Besi dan Paduan Besi,Mandiodo 1,Sulawesi Tenggara,Operasi Produksi,40587992,3977623216,"Kadar Ni 1,4%","PT Cinta Jaya, Laporan RKAB Tahun 2022",1412,122.2168,-3.5615,IUP,Kec. Molawe,309.0,2027-12-22,2017-03-29,60610.215,1.374,43998.73,10.73972602739726,Active
Molawe,Konawe Utara,Nikel Tapungjaya 1,2164000000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapungjaya 1,Sulawesi Tenggara,Operasi Produksi,133397672,13072971856,-,"PT Cinta Jaya, Laporan RKAB Tahun 2022",1513,122.1969,-3.5632,IUP,Kec. Molawe,309.0,2027-12-22,2017-03-29,61962.057,63.471,45009.319,10.73972602739726,Active
Langgikima,Konawe Utara,Nikel Wiwirano,2547000000,Nikel,Ni,Logam Besi dan Paduan Besi,Wiwirano,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Selaras Mining, Laporan Studi Kelayakan Tahun 2013",1569,122.237,-3.167,IUP,"Desa Wiwirano, Kec. Wiwirano",634.8,2030-06-23,2010-06-23,40535.271,1419.034,13582.788,20.013698630136986,Active
Langgikima,Konawe Utara,Nikel Molore,2546000000,Nikel,Ni,Logam Besi dan Paduan Besi,Molore,Sulawesi Tenggara,Operasi Produksi,12921580,144721696,"Kadar Ni 1,3% dan 1,8%","PT Cipta Djaya Surya, Laporan RKAB Tahun 2022",1568,122.288,-3.336,IUP,"Desa Molore, Kec. Langgikima",195.7,2030-06-07,2010-06-07,60004.395,176.663,31805.716,20.013698630136986,Active
Langgikima,Konawe Utara,Nikel Blok Paka Indah,1932000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Paka Indah,Sulawesi Tenggara,Operasi Produksi,0,0,-,"PT Cipta Djaya Surya, Laporan Studi Kelayakan Tahun 2013",1464,122.165,-3.362,IUP,"Desa Molore, Kec. Langgikima",195.7,2030-06-07,2010-06-07,61293.118,1925.448,36557.269,20.013698630136986,Active
